,att.pitch,att.roll,att.yaw,acc.x,acc.y,acc.z,gyro.pitch_w,gyro.roll_w,gyro.yaw_w
2023-11-21 20:58:57.420,3.0,5.6999998093,333.0,-104.0,195.0,1983.0,0.0609756112,0.0,0.1829268336
2023-11-21 20:58:57.430,3.0,5.6999998093,333.0,-103.5,194.0,1982.5,0.0304878056,0.0,0.0914634168
2023-11-21 20:58:57.440,3.0,5.6999998093,333.0,-103.0,193.0,1982.0,0.0,0.0,0.0
2023-11-21 20:58:57.450,3.0,5.64999985695,333.0,-103.0,193.0,1982.0,-0.0609756112,0.0,0.0609756112
2023-11-21 20:58:57.460,3.0,5.5999999046,333.0,-103.0,195.0,1983.0,0.0609756112,0.0609756112,0.0
2023-11-21 20:58:57.470,3.0,5.5999999046,333.0,-103.0,197.0,1983.0,0.0,0.0,0.0
2023-11-21 20:58:57.480,3.0,5.5999999046,333.0,-103.0,197.0,1983.0,0.0,0.0,0.0
2023-11-21 20:58:57.490,3.0,5.64999985695,333.0,-105.0,197.0,1982.0,-0.0609756112,0.0,-0.0609756112
2023-11-21 20:58:57.500,3.0,5.6999998093,333.0,-104.0,200.0,1983.0,0.0,0.0,0.0
2023-11-21 20:58:57.510,3.0,5.6999998093,333.0,-104.0,198.0,1981.0,0.0609756112,0.0,0.0
2023-11-21 20:58:57.520,3.0,5.6999998093,333.0,-105.0,198.0,1983.0,0.0,0.0,0.0
2023-11-21 20:58:57.530,3.0,5.6999998093,333.0,-104.5,197.0,1982.5,0.0304878056,-0.0304878056,0.0
2023-11-21 20:58:57.540,3.0,5.6999998093,333.0,-104.0,196.0,1982.0,0.0609756112,-0.0609756112,0.0
2023-11-21 20:58:57.550,3.0,5.6999998093,333.0,-103.0,194.0,1982.0,0.0,0.1219512224,0.0
2023-11-21 20:58:57.560,3.0,5.6999998093,333.0,-104.0,196.0,1982.0,0.0304878056,0.0304878056,-0.0304878056
2023-11-21 20:58:57.570,3.0,5.6999998093,333.0,-105.0,198.0,1982.0,0.0609756112,-0.0609756112,-0.0609756112
2023-11-21 20:58:57.580,3.0,5.6999998093,333.0,-105.0,196.0,1982.0,0.0,-0.0609756112,0.0
2023-11-21 20:58:57.590,3.0,5.6999998093,333.0,-104.0,195.0,1982.0,0.0,0.0,0.0
2023-11-21 20:58:57.600,3.0,5.6999998093,333.0,-104.0,195.5,1982.0,0.0304878056,0.0,0.0
2023-11-21 20:58:57.610,3.0,5.6999998093,333.0,-104.0,196.0,1982.0,0.0609756112,0.0,0.0
2023-11-21 20:58:57.620,3.0,5.64999985695,333.0,-105.0,193.0,1982.0,-0.0609756112,0.0,0.0609756112
2023-11-21 20:58:57.630,3.0,5.5999999046,333.0,-102.0,194.0,1984.0,-0.0609756112,-0.0609756112,-0.0609756112
2023-11-21 20:58:57.640,3.0,5.5999999046,333.0,-103.5,195.0,1983.5,-0.0304878056,-0.0304878056,-0.0304878056
2023-11-21 20:58:57.650,3.0,5.5999999046,333.0,-105.0,196.0,1983.0,0.0,0.0,0.0
2023-11-21 20:58:57.660,3.0,5.5999999046,333.0,-104.0,195.0,1983.0,-0.0609756112,0.1219512224,0.0609756112
2023-11-21 20:58:57.670,3.0,5.5999999046,333.0,-105.0,196.0,1983.0,0.0609756112,0.0,0.0
2023-11-21 20:58:57.680,3.0,5.5999999046,333.0,-103.0,196.0,1982.0,0.0609756112,0.0,-0.0609756112
2023-11-21 20:58:57.690,3.0,5.5999999046,333.0,-104.0,196.0,1983.0,0.0304878056,0.0,-0.0304878056
2023-11-21 20:58:57.700,3.0,5.5999999046,333.0,-105.0,196.0,1984.0,0.0,0.0,0.0
2023-11-21 20:58:57.710,3.0,5.5999999046,333.0,-105.0,195.0,1984.0,0.0,-0.0609756112,0.0
2023-11-21 20:58:57.720,3.0,5.5999999046,333.0,-104.5,195.5,1984.0,0.0304878056,0.0,0.0
2023-11-21 20:58:57.730,3.0,5.5999999046,333.0,-104.0,196.0,1984.0,0.0609756112,0.0609756112,0.0
2023-11-21 20:58:57.740,3.0,5.5999999046,333.0,-104.0,197.0,1983.0,0.0609756112,0.0,0.0
2023-11-21 20:58:57.750,3.0,5.5999999046,333.0,-104.0,196.0,1982.0,0.0,0.0,0.0
2023-11-21 20:58:57.760,3.0,5.5999999046,333.0,-104.5,195.5,1983.0,0.0304878056,-0.0304878056,0.0
2023-11-21 20:58:57.770,3.0,5.5999999046,333.0,-105.0,195.0,1984.0,0.0609756112,-0.0609756112,0.0
2023-11-21 20:58:57.780,3.0,5.5999999046,333.0,-104.0,195.0,1984.0,0.0609756112,-0.0609756112,0.0609756112
2023-11-21 20:58:57.790,3.0,5.5999999046,333.0,-105.0,197.0,1983.0,-0.0609756112,0.0,0.0
2023-11-21 20:58:57.800,3.0,5.5999999046,333.0,-104.0,195.0,1983.0,0.0,0.0,-0.0609756112
2023-11-21 20:58:57.810,3.0,5.5999999046,333.0,-104.0,195.5,1983.5,0.0,0.0304878056,-0.0609756112
2023-11-21 20:58:57.820,3.0,5.5999999046,333.0,-104.0,196.0,1984.0,0.0,0.0609756112,-0.0609756112
2023-11-21 20:58:57.830,3.0,5.5999999046,333.0,-104.0,194.0,1984.0,0.0609756112,0.0,0.0
2023-11-21 20:58:57.840,3.0,5.5999999046,333.0,-105.0,195.0,1982.0,-0.0609756112,0.0,0.0
2023-11-21 20:58:57.850,3.0,5.5999999046,333.0,-105.5,196.0,1982.5,-0.0304878056,0.0304878056,0.0
2023-11-21 20:58:57.860,3.0,5.5999999046,333.0,-106.0,197.0,1983.0,0.0,0.0609756112,0.0
2023-11-21 20:58:57.870,3.0,5.5999999046,333.0,-104.0,195.0,1982.0,0.0,0.0,0.0
2023-11-21 20:58:57.880,3.0,5.5999999046,333.0,-105.0,196.0,1983.0,0.0,0.0,0.0609756112
2023-11-21 20:58:57.890,3.0,5.5999999046,333.0,-105.0,196.0,1983.0,0.0304878056,-0.0304878056,0.0304878056
2023-11-21 20:58:57.900,3.0,5.5999999046,333.0,-105.0,196.0,1983.0,0.0609756112,-0.0609756112,0.0
2023-11-21 20:58:57.910,3.0,5.5999999046,333.0,-105.0,195.0,1985.0,0.0,0.0,0.0
2023-11-21 20:58:57.920,3.0,5.5999999046,333.0,-104.0,196.0,1982.0,0.0,0.0609756112,0.0
2023-11-21 20:58:57.930,3.0,5.5999999046,333.0,-105.0,195.0,1983.0,0.1219512224,-0.0609756112,-0.1219512224
2023-11-21 20:58:57.940,3.0,5.5999999046,333.0,-104.0,195.0,1983.5,0.0609756112,0.0,-0.0914634168
